number,Cwm,k,l,m,n
546,0.23,2,7,5,4
547,0.23,7,2,2,4
548,0.16,2,1,7,7
549,0.11,1,1,5,6
550,0.16,1,3,11,2
551,0.23,4,3,4,2
552,-0.16,7,2,1,4
553,0.23,3,3,3,5
554,-0.23,6,2,6,4
555,0.22,9,2,4,2
556,-0.16,4,1,7,4
557,-0.16,1,5,8,2
558,0.16,1,7,2,3
559,-0.16,4,1,10,2
560,-0.16,1,2,6,5
561,-0.22,3,2,6,6
562,0.16,2,1,12,3
563,-0.16,1,6,3,2
564,-0.16,1,5,14,2
565,0.22,6,2,4,4
566,-0.16,5,1,7,2
567,-0.16,10,1,3,2
568,0.16,1,3,16,3
569,-0.22,3,4,7,5
570,0.16,10,2,1,4
571,-0.16,4,1,2,5
572,0.22,3,3,5,2
573,0.22,2,2,5,6
574,-0.16,4,1,18,3
575,0.16,1,3,9,2
576,-0.16,1,7,5,5
577,-0.16,1,5,12,2
578,0.16,9,4,1,3
579,0.22,9,3,2,3
580,0.16,7,1,6,2
581,-0.16,6,1,7,5
582,-0.16,1,5,10,2
583,0.22,5,2,14,2
584,-0.22,4,3,5,2
585,-0.15,2,1,5,4
586,0.22,4,7,2,5
587,-0.15,2,1,8,5
588,-0.15,1,3,3,5
589,0.22,5,2,18,2
590,-0.22,2,2,13,3
591,-0.15,2,1,7,4
592,0.15,1,3,12,3
593,0.22,10,2,3,3
594,-0.15,1,5,18,2
595,-0.15,4,1,12,3
596,0.22,4,6,3,3
597,0.22,6,4,2,4
598,0.21,5,6,2,3
599,0.15,1,4,6,5
600,0.21,3,5,16,2
601,-0.21,5,3,3,2
602,-0.21,3,3,8,3
603,0.21,5,2,16,2
604,-0.15,1,5,16,2
605,-0.21,4,2,5,3
606,-0.11,10,1,1,2
607,-0.15,9,1,8,2
608,0.21,3,5,18,2
609,-0.21,5,7,3,3
610,0.21,4,2,17,3
611,0.15,8,1,6,3
612,0.21,3,6,18,3
613,-0.21,4,2,12,3
614,0.21,4,2,11,3
615,0.15,17,1,2,2
616,-0.21,3,3,13,2
617,0.15,1,7,2,4
618,0.21,3,2,6,3
619,0.15,4,1,13,3
620,-0.15,5,2,1,4
621,0.21,4,2,15,3
622,0.21,4,2,13,3
623,-0.15,1,4,2,2
624,-0.15,6,1,7,2
625,0.15,1,4,3,2
626,-0.21,5,2,17,2
627,-0.21,3,3,17,2
628,0.15,1,3,14,3
629,0.15,16,1,4,2
630,0.15,1,5,4,4
631,-0.21,5,2,15,2
632,-0.07,1,1,1,8
633,0.15,2,1,7,6
634,0.21,3,6,16,3
635,0.21,3,6,14,3
636,-0.21,2,7,2,3
637,0.21,3,6,12,3
638,-0.21,4,2,14,3
639,-0.15,1,5,7,3
640,0.15,4,1,17,3
641,0.21,3,5,12,2
642,-0.21,6,2,2,5
643,-0.21,9,2,2,3
644,0.21,2,4,3,2
645,-0.21,4,2,16,3
646,-0.15,2,1,6,6
647,-0.21,3,4,4,5
648,0.15,4,1,8,4
649,0.21,3,5,10,2
650,-0.20,16,2,3,2
651,0.20,16,2,2,2
652,-0.14,5,1,13,2
653,-0.14,5,6,1,2
654,0.14,9,1,4,2
655,-0.14,7,1,3,4
656,0.14,1,5,7,2
657,-0.07,8,1,1,1
658,0.14,1,3,10,3
659,0.20,8,2,2,2
660,-0.20,3,3,9,2
661,0.20,3,5,14,2
662,-0.20,3,3,11,2
663,-0.14,1,7,9,5
664,-0.14,2,2,1,6
665,-0.14,9,1,4,3
666,-0.14,1,6,16,3
667,-0.14,1,6,10,3
668,-0.10,3,1,1,8
669,0.20,2,2,5,3
670,0.14,5,1,2,4
671,0.14,8,1,6,2
672,0.14,1,6,5,2
673,0.14,13,2,1,2
674,-0.20,2,2,11,3
675,-0.20,4,2,7,5
676,-0.20,3,3,15,2
677,0.14,2,1,6,2
678,-0.20,2,3,2,4
679,-0.14,1,6,8,3
680,0.14,4,1,3,4
681,-0.14,3,2,19,3
682,0.20,6,2,10,2
683,0.14,4,1,15,3
684,0.14,13,1,2,4
685,-0.07,10,1,1,1
686,0.10,1,1,7,5
687,-0.10,1,1,6,8
688,0.20,6,3,2,2
689,-0.07,1,1,1,6
690,-0.20,3,6,6,5
691,-0.14,5,1,11,2
692,0.20,3,4,3,3
693,-0.14,1,6,14,3
694,-0.20,2,5,4,4
695,-0.20,4,3,17,3
696,0.14,2,1,14,3
697,0.14,1,5,6,4
698,-0.14,4,1,8,2
699,0.20,3,3,12,2
700,-0.20,3,2,4,4
