number,Cp,k,l,m,n
650,-0.08,1,2,7,1
651,0.08,1,7,1,4
652,-0.12,7,3,3,1
653,-0.12,1,5,7,3
654,-0.12,15,2,4,1
655,-0.16,2,4,2,4
656,0.12,3,7,8,1
657,-0.16,6,2,4,4
658,0.06,22,1,1,1
659,-0.16,3,6,9,5
660,0.11,6,3,8,1
661,-0.08,4,6,1,1
662,0.11,2,6,2,1
663,-0.11,7,7,2,1
664,-0.11,1,3,7,3
665,-0.11,13,3,2,1
666,-0.16,3,6,3,2
667,-0.16,3,6,2,4
668,0.11,1,6,3,2
669,0.11,2,1,8,2
670,-0.16,4,6,10,4
671,-0.11,1,5,3,4
672,0.08,12,2,1,1
673,-0.08,10,1,1,2
674,-0.11,1,2,11,4
675,0.11,1,7,5,5
676,0.16,4,3,3,5
677,-0.08,1,1,7,5
678,0.08,1,1,4,4
679,-0.16,3,6,3,3
680,-0.11,1,5,4,3
681,0.08,1,3,1,5
682,0.11,10,2,3,1
683,-0.11,6,6,6,1
684,0.16,4,5,10,4
685,0.16,5,4,10,4
686,0.16,3,3,4,3
687,-0.11,6,1,7,2
688,0.16,4,4,4,5
689,-0.15,2,7,3,5
690,-0.08,10,1,2,1
691,-0.05,19,1,1,1
692,-0.11,9,3,2,1
693,-0.11,10,1,3,2
694,-0.11,2,7,7,1
695,0.08,1,7,1,2
696,0.08,4,1,7,1
697,-0.11,4,4,7,1
698,0.08,3,1,1,5
699,-0.11,6,5,5,1
700,0.08,1,1,11,3
